Provider,Total_Claims,Total_Reimbursed,Average_Claim_Amount
PRV52176,21,312000,14857.1428571429
PRV52266,35,446400,12754.2857142857
PRV52292,24,300000,12500.0
PRV52045,43,499700,11620.9302325581
PRV52173,119,1381400,11608.4033613445
PRV52131,26,297900,11457.6923076923
PRV52114,94,1056000,11234.0425531915
PRV52157,31,324000,10451.6129032258
PRV52178,133,1379400,10371.4285714286
PRV52063,79,816000,10329.1139240506
PRV52017,21,216000,10285.7142857143
PRV52044,26,266000,10230.7692307692
PRV52077,101,1033000,10227.7227722772
PRV52112,22,225000,10227.2727272727
PRV52021,128,1298500,10144.53125
PRV52281,41,408000,9951.21951219512
PRV52151,44,435800,9904.54545454545
PRV52019,119,1170400,9835.29411764706
PRV52120,136,1336200,9825.0
PRV52072,41,398000,9707.31707317073
PRV52159,23,222000,9652.17391304348
PRV52279,82,783000,9548.78048780488
PRV52280,36,342000,9500.0
PRV52065,57,531700,9328.0701754386
PRV52100,162,1508200,9309.87654320988
PRV52076,44,405000,9204.54545454545
PRV52283,66,594700,9010.60606060606
PRV52128,53,462050,8717.92452830189
PRV52135,207,1794300,8668.11594202899
PRV52265,30,260000,8666.66666666667
PRV52123,152,1300600,8556.57894736842
PRV52027,22,162000,7363.63636363636
